oid,mjd,filter,maglimit,mjd_day,magnitud_proyectada,upperlimit,detected
ZTF21aardzlu,59276.30804400006,r,20.1221,59276,18.79781584177326,F,True
ZTF21aardzlu,59280.27884260006,r,20.9665,59280,19.09009436033483,F,True
ZTF21aardzlu,59290.26561339991,r,20.8182,59290,20.084570191818674,F,True
ZTF21aardzlu,59292.34115740005,r,20.831,59292,20.24260289503414,F,True
ZTF21aardzlu,59295.268067100085,r,19.8186,59295,19.8186,T,False
ZTF21aardzlu,59297.2345718001,r,19.1086,59297,19.1086,T,False
ZTF21aardzlu,59301.31771990005,r,19.0808,59301,19.0808,T,False
ZTF21aardzlu,59303.32199069997,r,19.9934,59303,19.9934,T,False
