oid,mjd,filter,maglimit,mjd_day,magnitud_proyectada,upperlimit,detected
ZTF21abdhbfi,59336.38567129988,r,20.3232,59336,20.3232,T,False
ZTF21abdhbfi,59339.451053199824,r,20.7157,59339,20.7157,T,False
ZTF21abdhbfi,59341.43056710018,r,20.5515,59341,20.5515,T,False
ZTF21abdhbfi,59343.36497690016,r,20.7348,59343,20.7348,T,False
ZTF21abdhbfi,59345.45423609996,r,20.7782,59345,20.7782,T,False
ZTF21abdhbfi,59347.36461810023,r,19.1855,59347,19.1855,T,False
ZTF21abdhbfi,59349.34855319979,r,20.8639,59349,20.8639,T,False
ZTF21abdhbfi,59353.43370370008,r,20.6534,59353,20.6534,T,False
ZTF21abdhbfi,59356.36280089989,r,20.0954,59356,20.0954,T,False
ZTF21abdhbfi,59359.38437499991,r,19.8184,59359,19.8184,T,False
ZTF21abdhbfi,59362.32412040001,r,20.0845,59362,20.0845,T,False
