oid,mjd,filter,maglimit,mjd_day,magnitud_proyectada,upperlimit,detected
ZTF21aabgega,59193.48531250004,r,20.414,59193,20.414,T,False
ZTF21aabgega,59195.46651619999,r,19.418,59195,19.418,T,False
ZTF21aabgega,59198.457025500014,r,20.3111,59198,20.3111,T,False
ZTF21aabgega,59200.39403939992,r,19.494,59200,19.494,T,False
ZTF21aabgega,59203.45651620021,r,20.1593,59203,20.1593,T,False
ZTF21aabgega,59205.4488309999,r,17.9202,59205,17.9202,T,False
ZTF21aabgega,59210.40074069984,r,19.9666,59210,19.9666,T,False
ZTF21aabgega,59217.33994209999,r,19.8745,59217,19.8745,T,False
ZTF21aabgega,59219.33866900019,r,19.9818,59219,19.9818,T,False
