oid,mjd,filter,maglimit,mjd_day,magnitud_proyectada,upperlimit,detected
ZTF19abyxsgn,58711.401180599816,r,19.742,58711,19.742,T,False
ZTF19abyxsgn,58714.3717939998,r,19.9492,58714,19.9492,T,False
ZTF19abyxsgn,58717.326539400034,r,20.3957,58717,20.3957,T,False
ZTF19abyxsgn,58723.37189809978,r,20.9493,58723,20.9493,T,False
ZTF19abyxsgn,58726.30498840008,r,20.3913,58726,20.3913,T,False
ZTF19abyxsgn,58730.38714119978,r,20.6466,58730,20.6466,T,False
ZTF19abyxsgn,58733.37868059985,r,20.3094,58733,20.3094,T,False
ZTF19abyxsgn,58736.41510420013,r,20.0301,58736,20.0301,T,False
ZTF19abyxsgn,58738.16715280013,r,19.4182,58738,19.4182,T,False
ZTF19abyxsgn,58739.16605320014,r,19.2208,58739,19.2208,T,False
ZTF19abyxsgn,58740.16646989994,r,19.1769,58740,19.1769,T,False
ZTF19abyxsgn,58741.1666203998,r,19.3782,58741,19.3782,T,False
