oid,mjd,filter,maglimit,mjd_day,magnitud_proyectada,upperlimit,detected
ZTF19aadavqz,58716.45969909988,r,19.5166,58716,19.5166,T,False
ZTF19aadavqz,58722.48092589993,r,20.2524,58722,20.2524,T,False
ZTF19aadavqz,58725.48094910011,r,19.8743,58725,19.8743,T,False
ZTF19aadavqz,58735.52174769994,r,19.335,58735,19.335,T,False
ZTF19aadavqz,58738.52178240009,r,19.1251,58738,19.1251,T,False
ZTF19aadavqz,58741.41778940009,r,18.9416,58741,18.9416,T,False
ZTF19aadavqz,58744.37673609983,r,19.3214,58744,19.3214,T,False
ZTF19aadavqz,58756.391354199965,r,19.7428,58756,19.7428,T,False
ZTF19aadavqz,58772.36113430001,r,17.7282,58772,17.7282,T,False
ZTF19aadavqz,58773.34451390011,r,19.4778,58773,19.4778,T,False
